ID;Aktywny(0 lub 1);Nazwa *;Opis;Krótki opis;Meta - tytuł;Słowa kluczowe meta;Opis meta;URL zdjęcia;ID / Nazwa sklepu grupy
78;1;Kangol;Super marka Kangol;;;;;https://img01.ztat.net/article/spp-media-p1/478e9382fb92442c80dca0ae083ec67a/8aaa554f71b14b6eaab4023071571304.jpg?imwidth=300&filter=packshot;
79;1;Stradivarius;Super marka Stradivarius;;;;;https://img01.ztat.net/article/spp-media-p1/dacace43a8084e82b85ba647287763b0/475f203b5d76459899eb79ef1c484101.jpg?imwidth=300;
80;1;Buratti;Super marka Buratti;;;;;https://img01.ztat.net/article/spp-media-p1/bba7dede10f243cca19acaf7f66eef16/d058c58e90594c688248b325b9343395.jpg?imwidth=300;
81;1;Calvin Klein Performance;Super marka Calvin Klein Performance;;;;;https://img01.ztat.net/article/spp-media-p1/be563b2c4495407b964e68ec774f2e15/9cc43d27f39c4fd891f7d6a24a9da500.jpg?imwidth=300;
82;1;Carhartt WIP;Super marka Carhartt WIP;;;;;https://img01.ztat.net/article/spp-media-p1/31897bf78cb8433ebdccdc427a66d1fd/ec364ee178c24432912e2b79c99fabd6.jpg?imwidth=300;
83;1;Lee Cooper;Super marka Lee Cooper;;;;;https://img01.ztat.net/article/spp-media-p1/84a475248d2c4d73bbc34b989064f1f7/d05f42e384ec489d8321b5a05967a01c.jpg?imwidth=300;
84;1;Cross Jeans;Super marka Cross Jeans;;;;;https://img01.ztat.net/article/spp-media-p1/2bdc5fb19bfc4efa8b518755cd9ccd9c/cbee40c0d91f45d88f31e05d21e5c9fb.jpg?imwidth=300;
85;1;Replay;Super marka Replay;;;;;https://img01.ztat.net/article/spp-media-p1/4e71efb3ae7d46fc83f7bc19067447b1/4a89ce3c3b154530b3b4a0c41285d77b.jpg?imwidth=300;
86;1;TOM TAILOR;Super marka TOM TAILOR;;;;;https://img01.ztat.net/article/spp-media-p1/bd12d536d74d36bbac1e73933493a9c6/beb1baf2b41d4e409f52adbc6146c73e.jpg?imwidth=300;
87;1;Cars Jeans;Super marka Cars Jeans;;;;;https://img01.ztat.net/article/spp-media-p1/883a2617e72b36dcb52a12c3d8612168/1d313ce830b14c498a4fe7f2cab4aa35.jpg?imwidth=300;
88;1;Gabbiano;Super marka Gabbiano;;;;;https://img01.ztat.net/article/spp-media-p1/3a53de4ce54b32eb89d7ba86410d4f35/dad597feec3d40bf885765918686c77b.jpg?imwidth=300;
89;1;Jack's Sportswear;Super marka Jack's Sportswear;;;;;https://img01.ztat.net/article/spp-media-p1/9e4abf129a0143a79d6970d70fa3eda1/20b13adbf4d84395b97a0eb51a538781.jpg?imwidth=300;
90;1;Bugatti;Super marka Bugatti;;;;;https://img01.ztat.net/article/spp-media-p1/20d89404877a3dbd9a6f4b1bd8729a43/6f6d04fcc7a343cba628ab0cfb454e1e.jpg?imwidth=300;
91;1;Tommy Jeans Plus;Super marka Tommy Jeans Plus;;;;;https://img01.ztat.net/article/spp-media-p1/f4f7cdf999014f2cb69b331b935fd681/6224f3d7d1864a9689d1e7a21182f38d.jpg?imwidth=300&filter=packshot;
